City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,nantucket,41.2835,-70.0995,285.21,94,75,5.66,US,1746490768
302,mirabad,30.4362,61.8383,298.48,15,0,5.59,AF,1746491050
303,wagar,16.1525,36.2032,297.92,44,92,3.95,SD,1746491051
304,francistown,-21.17,27.5079,285.49,69,0,3.13,BW,1746491052
305,alaghsas,17.0187,8.0168,299.16,9,4,4.63,NE,1746491053
306,saint-pierre,-21.3393,55.4781,297.97,88,100,5.66,RE,1746491055
307,nowy tomysl,52.3195,16.1284,276.59,75,37,1.89,PL,1746491056
308,vorgashor,67.5833,63.95,268.56,95,98,3.06,RU,1746490896
309,hadibu,12.65,54.0333,301.61,79,9,2.83,YE,1746491058
310,alofi,-19.0595,-169.9187,301.09,61,40,9.26,NU,1746491059
311,palmer,42.1584,-72.3287,285.1,76,100,1.34,US,1746490957
312,xichang,27.8964,102.2634,290.95,85,100,2.11,CN,1746491062
313,nouadhibou,20.931,-17.0347,294.14,64,100,6.17,MR,1746491063
314,griffith,41.5284,-87.4237,286.1,81,75,5.14,US,1746491064
315,wauchope,-31.45,152.7333,294.9,73,2,1.42,AU,1746491066
316,dudinka,69.4058,86.1778,269.94,94,99,2.18,RU,1746491067
317,tura,25.5198,90.2201,296.46,74,16,1.15,IN,1746491069
318,sinabang,2.4803,96.3801,299.59,82,98,1.61,ID,1746491070
319,pangoa,-12.1167,-73.0,295.11,88,84,0.97,PE,1746491071
320,volgodonsk,47.5136,42.1514,287.51,73,55,2.4,RU,1746491072
321,rio grande,-32.035,-52.0986,293.0,96,100,4.06,BR,1746490952
322,masuguru,-11.3667,38.4167,292.82,90,24,2.01,TZ,1746491075
323,kalengwa,-13.4659,25.0027,291.11,70,100,3.48,ZM,1746491076
324,ghatanji,20.1333,78.3167,302.59,36,27,3.72,IN,1746491077
325,vershino-darasunskiy,52.35,115.5167,280.79,31,4,0.59,RU,1746491079
326,amga,60.8953,131.9608,278.97,53,22,2.99,RU,1746491080
327,benghazi,32.1167,20.0667,296.26,27,23,5.69,LY,1746491081
328,klyuchi,52.2667,79.1667,283.26,55,40,3.32,RU,1746491082
329,batumi,41.6416,41.6359,284.14,87,0,2.57,GE,1746491083
330,fisterra,42.9049,-9.2629,285.1,68,0,9.64,ES,1746491085
331,badiyah,22.45,58.8,300.39,54,1,0.64,OM,1746491086
332,tukrah,32.5341,20.5791,297.19,21,32,4.6,LY,1746491087
333,bom jesus,-9.0744,-44.3586,299.3,54,86,0.76,BR,1746490842
